,Time,Name,Tweet_status,Text,Length,Location,polarity
0,2019-09-08 05:58:03,sureshmahesh786,Retweet,there  noth like failur science  experi  amp  gain  massiv respect scientist #isro work relentlessli day  amp  nights  nation proud you  jai hind     #chandrayan ,23,India,positive
1,2019-09-08 05:58:03,Kanpurhunk,Retweet,upcom #isro missions   gt  astrosat  gt  aditya L  mission  gt  gaganyaan mission  gt  mangalyaan    gt  chandrayaan   try  never give #jayhind   ,20,,positive
2,2019-09-08 05:58:04,iNikulchaudhary,Retweet,don t be so proud at my height  I am hindustan  I will come again     # chandrayaan  #isropergarvhai #isro #pmmodisupport,20,"गुजरात, भारत",positive
3,2019-09-08 05:58:05,ankit11101,Retweet,space hard  commend attempt land #chandrayaan  mission moon  south pole  inspir us journey look forward futur opportun explor solar system together ,21,,negative
4,2019-09-08 05:58:05,kulsaurabh1,Retweet,hello pallav bagla ndtv he  politician crimin u grill demean tone  amp  call  junior  he  scientist work hard us reject lucr offer abroad  moreover  #isro chief better thing face nincompoop like you ,32,"Rahu, Pune, Maharashtra",positive
5,2019-09-08 05:58:05,Sai2641,Retweet,#chandrayaan  mission highli complex mission  repres signific technolog leap compar previou mission #isro explor unexplor south pole moon  updat pleas visit,21,,negative
6,2019-09-08 05:58:05,matt_herdy,Retweet,hate good things  look comment section full respect  amp  love india    thankyou much guys  best #isro #chandrayaan   ,17,"London, England",positive
7,2019-09-08 05:58:07,tripathi622,Retweet,isro hold world record launch record     satellit   go  earlier record ussr    satellit launch   go  check difference       #chandaryaan  #chandrayaan  #isropergarvhai #isrochief #isro #indiaonthemoon #indiaproudofisro,23,Prayagraj bharat,positive
8,2019-09-08 05:58:07,KapilSi11509302,Tweet,realli entir nation isro  go ahead mission  we proud you ,10,India,positive
9,2019-09-08 05:58:07,RahulYa52868688,Retweet,today the path ha been created  tomorrow the destin will also be found  thi effort is made by the spirits  It will sure bring color one day #isro # chandrayaan ,30,,positive
10,2019-09-08 05:58:07,Congress_Army,Tweet,must kick,2,,positive
11,2019-09-08 05:58:07,Bhanu_Singh367,Retweet,shurma doe not get distracted  moment do not lose endurance  embrac obstacles  make path in thorns  ramdhari singh  dinkar  # chandrayaan  #isro,22,,negative
12,2019-09-08 05:58:07,Prabhatkyada,Retweet,one should not be disappoint with the failur of chandrayaan   but should consid it an achievement  next time we will complet thi   step with even more enthusiasm and will proudli wave the tricolor on the moon  the countri will alway be proud of the achiev of isro scientist and engineers  # chandrayaan  #isro,53,Bihar Pusa Samastipur ,positive
13,2019-09-08 05:58:07,Tomboy_Diaries,Retweet,sometim don t land arriv destin want to  import thing took hope belief can  current situat never final destination  alway come time belief  proud #isro,25,"New Delhi, India",positive
14,2019-09-08 05:58:07,SureshM46,Retweet,We are all proud of #isro  reach there as far as no one ha thought  what is it less     india             km lunar journey will be remembered  not     km  thank the bjp ha a government  otherwis it would have been on the moon today  instead of #vikram  #nehru would be landing  # chandrayaan ,52,"Bela,Pratapgarh, India ",positive
15,2019-09-08 05:58:08,DEEPAK17181,Retweet,#chandrayaan  experi make scienc better      proud indian  thank #isro best #chandrayaan ,11,,positive
16,2019-09-08 05:58:07,Nami_fight4life,Retweet,journo #pallavbagla immedi sack apologis #isro insan behaviour  indian heart innoc smile  amp  matur behaviour #isro scientist face misbehaviour journo  make #isro special ,23,Obviously somewhere on Earth,positive
17,2019-09-08 05:58:08,yogiarun19,Retweet,     I have hardli ever seen that in a hopeless state  everi citizen of india ha unit and tie the nation  strength  #aderhobdechalo #isro zindabad jai hind               ,26,"Bulandshahr, India",positive
18,2019-09-08 05:58:10,Rekaj15,Retweet,india scientist brink creat history  soft land moon soften everi indian heart   sg #chandrayaan  #isro #moonmiss,16,,positive
