,Time,Name,Tweet_status,Text,Length,Location
0,08-09-19 5:58,sureshmahesh786,Retweet,Theres nothing like failure science experiment amp gain Massive respect scientists ISRO worked relentlessly days amp nights nation proud Jai Hind Chandrayan2,215,India
1,08-09-19 5:58,Kanpurhunk,Retweet,Upcoming ISRO Missions gt STROSTgt ditya L1 mission gt Gaganyaanmissiongt Mangalyaan2gt Chandrayaan3Those try never give upjayHind,167,
2,08-09-19 5:58,ankit11101,Retweet,Space hard commend ISROs attempt land Chandrayaan2 mission Moons South Pole inspired us journey look forward future opportunities explore solar system together ,245,
3,08-09-19 5:58,kulsaurabh1,Retweet,Hello Pallav BaglaNDTVHes politiciancriminal u grill demeaning tone amp call juniorHes scientist working hard us rejecting lucrative offers abroad Moreover ISRO Chief better things facing nincompoops like ,308,"Rahu, Pune, Maharashtra"
4,08-09-19 5:58,Sai2641,Retweet,Chandrayaan2 mission highly complex mission represented significant technological leap compared previous missions ISRO explore unexplored south pole Moon updates please visit ,251,
5,08-09-19 5:58,matt_herdy,Retweet,Dont hate Good things look comment section full respect amp Love indiaThankyou much Guysll best ISRO Chandrayaan3,150,"London, England"
6,08-09-19 5:58,tripathi622,Retweet,peaceforchange ISRO holds World Record launch record 104 satellites 1 goEarlier record USSR 37 satellites launch 1 goJust check differencechandaryaan2 Chandrayaan2 IsroPerGarvHai ISROChief ISROIndiaOnTheMoon IndiaProudOfISRO ,311,Prayagraj bharat
7,08-09-19 5:58,KapilSi11509302,Tweet,Really entire Nation ISRO go ahead mission proud,83,India
8,08-09-19 5:58,Congress_Army,Tweet,must kicked,21,
9,08-09-19 5:58,Tomboy_Diaries,Retweet,Sometimes dont land arrive destination want important thing took Hope Belief current situation never final destination always comes time belief Proud ISRO,250,"New Delhi, India"
10,08-09-19 5:58,DEEPAK17181,Retweet,Chandrayaan3 Experiments makes science Better Proud Indian Thanks ISROll Best Chandrayaan3JITHU33 ThalaDhas ,164,
11,08-09-19 5:58,Nami_fight4life,Retweet,journo PallavBagla immediately sacked apologise ISRO insane behaviourWhat Indian hearts innocent smile amp mature behaviour ISRO scientist faced misbehaviour journo makes ISRO special,277,Obviously somewhere on Earth
12,08-09-19 5:58,Rekaj15,Retweet,India isro scientists brink creating history Soft landing moon soften every Indian heart Sg Chandrayaan2 ISRO Moonmission,154,
13,08-09-19 5:58,73rdraisin,Retweet,pallavabagla isro PMOIndia insulted spokesperson ISRO amp shouted like thug showed true colors elitism arrogance amp entitlement tag PM true human amp nationalist one stood ISROYou calling someone junior disrespected every IndianNDTV,320,India
14,08-09-19 5:58,Sai2641,Retweet,proud ISRO ISRO Chandrayaan2 ,72,
15,08-09-19 5:58,h_s_Karthik,Tweet,ShakunthalaHS BJP4Karnataka BJP4India BSYBJP Modi came Bengaluru neither visited flood affected areas discussed floodreliefBut visits Karnataka twice day elections Shameless BJP100DaysNoVikas,264,ಕರ್ನಾಟಕ
16,08-09-19 5:58,trishma_trivedi,Retweet,communication isnt lost Every single person India feel heartbeat chandrayaan2 hear whisper us first dont succeed try try ,206,
17,08-09-19 5:58,Arjun_Singh5,Retweet,Pakistan justifiably proud Science amp Technology Minister doesnt know lander failed orbiter stuff year nd BTW India doled 1 billion credit Russia rather begging aid ISRO Vikram ,307,"Ambala, India"
18,08-09-19 5:58,AHumbepatil,Retweet,letter VikramLander copy Prime Minister narendramodi ji isro chief KSivan ji scientists ISRO fellow Indians world Please retweet much actually reaches Jai Ho Jai Hind Chandrayaan2 ,289,
19,08-09-19 5:58,mkd_ganesan,Retweet,unfolded Mission failure reported notice PMs body language sympathy Mr PR upset B dvisors inform PM criticism SM walking away amp groundswell support ISRO C Next morning Mr PR goes back grab K Sivan ,286,"chennai, india."
20,08-09-19 5:58,Karthikasambu,Retweet,NS isro Looking forward hearing updates regarding research intriguing interesting ISRO,104,"Perambur, Perambur Purasavakam"
21,08-09-19 5:58,Varsha1_9,Retweet,Modi ji incredibly distasteful amp shameful see trying hog limelight amazing scientists ISROTheyre real heroes nation pls allow us celebrate hard work without making yourselfYour megalomania welcome,284,"Mumbai, India"
22,08-09-19 5:58,tushar_malewar,Retweet,majorgauravarya ProudIndian Big Salute Hardworking Scientists Chandrayan2 ISRO ,137,
23,08-09-19 5:58,Xtreme1700,Retweet,humble farmers son Isros Rocket Man Incredible journey K Sivan Sivan first graduate family brother two sisters unable complete higher education due poverty Chandrayaan2,257,"Mumbai, India"
24,08-09-19 5:58,saurav_k_,Retweet,Pakistans SUPRCO formed 8 yrs ISRO Yet launch indigenously developed satellite Earths orbit forget abt reaching Moon MarsSUPRCO 43mISRO 15BChandrayaan2 141m 33xSUPRCOISRO 35xSUPRCOBaap Baap Hota HaiBeta Beta WorthlessPakistan ,300,भारत
25,08-09-19 5:58,robin02jan,Retweet,United rab Emirates Space UE gency assure full support ISRO following loss contact spacecraft Chandrayaan2 land moon India proved strategic player space sector amp partner development amp achievements ,311,India
26,08-09-19 5:58,mgurav78,Retweet,Pallava done ISRO exactly done ISRO besides munching free snacks ISRO Space Centres apology justification rude behavior Chandrayaan2 ,221,
27,08-09-19 5:58,Shankar44811352,Retweet,Saw Video NDTVs Pallav Bagla Screaming ISRO Scientists Yes Yes Sure Get Ramon Magsasay ward Day JournalismThats Modi Supporters Hates NDTV Shame NDTV Chandrayaan2 ProudOfISRO ProudIndian ,275,
28,08-09-19 5:58,bapu_sonya,Tweet,fawadchaudhry Paxitan twitter bollywood ISRO Nothing celebrate life really living lifePakistanNeverTried PKMBK,154,पुण्यनगरी
29,08-09-19 5:58,Bhushi79,Tweet,narendramodi ji Chandrayaan2 public donation online Chandrayaan3 scientists Pakistan 1012 nuclear finance Chandrayaan2 ISROweareproudofyou ISRO IsroPerGarvHai,275,"Mumbai, India"
30,08-09-19 5:58,VirusPoochi,Retweet,Heres exclusive behindthescenes footage missions various components coming together  us think comments Chandrayaan2 GSLVMkIII ISRO ,238,TN57
31,08-09-19 5:58,__Speak___,Retweet,Israel followed VikramLandersambitious journey moon great hopes learned Israels Beresheet lunar lander never easy yet great achievement ISRO amp Indian scienceWere positive India reach moon amp beyond  ,332,
32,08-09-19 5:58,dakhars,Retweet,pictures defines India defines humanity Proud narendramodi Sir Mr K Sivan isro Chandrayaan2Landing ISRO ,217,
33,08-09-19 5:58,Dontdrop,Retweet,science writer Ive covered govt anti science current one Nothing PM incl insincere photoop hug changes badly govt hurt scientific temperament India egISRO,218,India
34,08-09-19 5:58,deebee159,Retweet,Mission Control Centre VikramLander descent planned normal performance observed altitude 21 km Subsequently communication Lander ground stations lost Data analyzedISRO,236,
35,08-09-19 5:58,Yaseen786md,Retweet,Look closely Isro Chief amp amp even shifted another side keep focus face ,185,
36,08-09-19 5:58,UttaraMimamsaka,Tweet,course pannavaBagla tried project false narrative true character amp mentoring Ndtv Chandrayaan2 Manned mission trolls bust balls Even isro scientists failed understand cues amp failed go along narrative Shame,288,
37,08-09-19 5:58,abuobeidakhalaf,Retweet,Chandrayaan2 Mission ISRO chief Sivan announces communication lost confirmation awaited  ,141,
38,08-09-19 5:58,SheikhFaisal321,Tweet,FarooquiJameel regards indian ahead us Pls accept reality try learn research Quran first Verse Iqra Parho Pakistani appreciate ISRO efforts Chandrayaan mission,216,"Lahore, Pakistan"
39,08-09-19 5:58,TheZalam,Retweet,Indian flag rejected moon IndiaFailed Chandrayaan2Live Chandrayaan2 VikramLander ISRO ,127,
40,08-09-19 5:58,AlokRanjan269,Tweet,isro chandrayaan2s proud ISRO isroscientists Chandrayaan3 IndiaOnTheMoon Chandrayaan2Landing NS SundayThoughts ISROMissions ISRO IndiaWithISRO IsroPerGarvHai ISROweareproudofyou ,227,hyderabad
41,08-09-19 5:58,Boopath10839552,Retweet,nice KamalHaasan begin todays BiggBossTamil3 encouraging ISRO team saying proud Mr Sivan crew Chandrayaan2 ISROSivan,172,
42,08-09-19 5:58,bgopu1973,Tweet,DrGPradhan  2hours tweet verbatim tweeted glad message spread,145,"Mumbai, India"
43,08-09-19 5:58,being_suttebaaz,Retweet,See video decide Contributions made ISRO humanity Vs Contributions WorthlessPakistan PakistanTheSlaveOfIndia ,167,"अगरतला, त्रिपुरा, INDIA ❤️"
44,08-09-19 5:58,Kambamwhamm,Tweet,samjawed65 course think Modi ISRO,64,
45,08-09-19 5:58,dhaval8456,Retweet,Chief K sivansirs saidHon PM narendramodis words source inspiration said Science isnt always results Experimentsamp experiments create ResultsProud NaMo amp ISROSivanPrideOfIndia Chandrayaan3 DDNewsLive ,302,"Gujarat, India"
46,08-09-19 5:58,iamkristy321,Retweet,Future projects ISRO1920 dityaL1 study Suns Corona 2021 Gaganyan send astronaut space2021 Chandrayaan3send Indian Robot2223 Mangalyan2 2nd orbiter Mars2325 Shukrayaan send orbiter study Venus2023 SpaceStation Indias space station ,304,Here..There..Everywhere.😝
47,08-09-19 5:58,saydinesh,Retweet,PrannoyRoyNDTV one point pallavabagla asked pre interview Sivan whether astronauts Chandrayan2Do think right person cover high tech topicsChandrayaan2 ProudOfISRO ISRO Sivan,249,"Bolton, England"
48,08-09-19 5:58,amolckadam,Tweet,ddressing school student CHNDRYN 2 pimpari Highschoolvikramlander orbiter chandrayaan2 isro student education speech highschool strongmind ,196,"Mumbai and Atpadi, Sangali"
49,08-09-19 5:58,Gabbar224,Retweet,many astronauts carrying Chandrayaan2 finest amp experienced PallavBagla doesnt lack basic human etiquettesa primary school kid would ask better question ISRO ChiefCriticize NDTV misdeedswere lynch mob amp theyre victim  ,335,
50,08-09-19 5:58,SavvyPriya,Retweet,New Indian Express says Vikram Lander crashed moon adds wasnt tested elaboratelyIf true ISRO lying continuing contact Lander 14 days show something 100 days Modi 2 MODIfied100 Chandrayaan2 ,278,Washington DC/ Mumbai
51,08-09-19 5:58,SarkarDipen,Tweet,isro shown world movies sports Indians united science well Thankyou isro making us proud missions like Chandrayaan2,182,Chennai
52,08-09-19 5:58,ManoharNani10,Retweet,1st country find water moon1st launch 104 satellites time1st reach Mars 1st attempt1st reach Mars 90 cheaper cost1st attempt soft landing Lunar South PoleChandrayan2 VikramLander ISRO ProudOfISROIndiaWithISRO ,293,
53,08-09-19 5:59,akashcherku,Retweet,us ISRO IndiawithISRO ProudOfISRO,61,"Hyderabad, India"
54,08-09-19 5:59,RvoSandeep,Tweet,MangoManBR support Nehru giving Kashmir Pakistan giving China nd Nehru responsible ISRO died 1964 ISRO foundation happened 1969 librandua like Nehru may time travel Har Har Mahadev,253,Bharat
55,08-09-19 5:59,hiteshbhalani19,Retweet,India covered 3843979 km reach Moon country dared reach Pakistan cant even cross Wagah boarder since last 70 yrsur fir bhi Bakchodi fawadchaudhryChandrayaan2 ISRO ,229,"Surat, India"
56,08-09-19 5:59,NithishYuvraj,Retweet,Obstacles part every journey aims achieve something phenomenalI join entire nation applauding great work done scientists ISRO taking us step closer moonYouve heartsKudos effortsProudOfISRO Chandrayaan2,280,India
57,08-09-19 5:59,samikshaa3,Retweet,think narendramodi hug heart broken isro chairman group hug billion plus people fine gesture nd needed criticise politicise even deny transcendental moments country unite one ISRO,279,Noida
58,08-09-19 5:59,giliyar,Retweet,PTHETIC Low Level Journalism ndtvNDTV Journo Pallava Bagla waa CLUELESS questioning ISRO Chief K Sivan see ttitude amp Tone SHOUTING amp Insulting ISRO Scientist briefing Press Chandrayaan2 ProudIndian ProudOfISRO PallavBagla NDTV ,307,Hyderabad
59,08-09-19 5:59,tiru_2000,Retweet,due respect ur age Im sorry Khangress amp Dynasty Boot licker americai talks smritiirani slayed ur Prez RahulGandhi IamRajii igriffinpeter bismivalaipechu anandakonar Iyerramvimal kalpeshiyer skarthikdotin sgsekaran JewHavvaNagila ,302,
60,08-09-19 5:59,Yasirmcheema,Retweet,Instead accepting fact ISRO leagues ahead Pakistan Space capabilities weve small men high offices mocking failures learning nothing amp ofcourse nothing bridge gap Fact India failing amp keeps night,285,"Wazirbad, Pakistan"
61,08-09-19 5:59,JunedJamadar10,Tweet,ISRO salute caliber dedication courage made us proudProudOfISRO,183,"Sangli-Miraj Kupwad, India"
62,08-09-19 5:59,Sonia1421__,Tweet,iamsrk Destiny Destined Something Better Ways Proud ISRO,84,Sweet Home India 
63,08-09-19 5:59,SandeepKaul13,Tweet,iVeenaKhan ImranKhanPTI PKMKB pne desh ek simple pen manufacture nhi kr skte Hamare Scientist ISRO ka mazak udate hai ProudofISRO,147,"Bhopal, India"
64,08-09-19 5:59,Sandeep_Pinu,Tweet,really proud speaking Congratulations kind,73,India
65,08-09-19 5:59,8Dilip,Retweet,nicely made hats ISRO Chandrayaan3 IsroPerGarvHai ,95,India
66,08-09-19 5:59,mukeshnt,Tweet,get board exams space research 90 excellent ISRO deserves congratulatory messages across globe BTW project conceived 2014 record,205,"Mumbai, India"
67,08-09-19 5:59,HasrshSharma,Tweet,Congratulations sir heartily u best luck missions,84,"Rajasthan, India"
68,08-09-19 5:59,Ajaykalse1,Retweet,Dear Indians seeing tweets Science amp technology minister fawadchaudhry amp DGISPR peaceforchange Chandrayaan2 dont worry bombing us back stone age ourself capable jobIndiaWithISROISRO ProudOfISRO,279,"Bidar, India"
69,08-09-19 5:59,RAVIKISHANCHAU6,Retweet,failure science power ISRO Great country greater scientific achievements warm gesture Honble PM narendermodi consoling patting hugging amp congratulating ISRO chief KSivan general amp scientists particular extremely,281,Bhagalpur Bihar India
70,08-09-19 5:59,amolgw,Tweet,Working 2 organisations forgery master Dual employment like corporate espionage knows might stole technology ISRO nother matter investigation NDTv,207,pune
71,08-09-19 5:59,iminjurious,Retweet,Proud everyone ISRO team Setbacks part journey without success whole nation stands believes,170,India
72,08-09-19 5:59,Boopath10839552,Retweet,RETWEET ProudOfISRO stand youWe salute youWe INDINSIndiawithISRO ISRO ,129,
73,08-09-19 5:59,sswapnika__,Retweet,never forget moment try never give upJayHind ISRO ISROMissions ,122,बैंगलोर
74,08-09-19 5:59,DarshanBhatt22,Retweet,RT want happen soonChandrayaan2 Chandrayaan3 ISRO IsroPerGarvHai ProudOfISRO ,136,"Gandhinagar, India"
75,08-09-19 5:59,aku_ini08,Retweet,times social media brags strengths successes important teach next gen weaknesses failures learn defeat havent really lost Proud ISRO,200,
76,08-09-19 5:59,neon_om,Retweet,Stay strong proud isro teams work inspirational leadership PMOIndia narendramodi outstanding national support Together strive SpaceIsHard ,225,India
77,08-09-19 5:59,gopalmali5052,Retweet,Hey Bakistan country earns living breeding donkeys export China men slaves rabia needs think twice mocking Indias space program ISRO go mind goats Ok ,229,
78,08-09-19 5:59,Raglak009,Retweet,one truly considers young really free nationthat fact space missions alland levelis mindboggling achievement isro nation stands behind beaming pride,219, India
79,08-09-19 5:59,questionsaglore,Retweet,nation awaits revival communications VikramLander proud hard work everyone ISRO feats achieved Chandrayaan2 exemplary,194,
80,08-09-19 5:59,Bharat88470499,Retweet,connection Vikram lostnot relentless spirit Heres hard workthe overcome every obstacle never give attitude youve always exhibited ISROKudos making daring attemptDont lose hopeHumHongeKamyab ajLikhengeKal ,304,
81,08-09-19 5:59,Londa_deshi,Tweet,Sameraofficial1 Congratulations baby girl nd Im tell one thing beggars keep ur limit Tum jitna duniya se bhikh mangte ho utna hamare yahan ek ISRO ka project hota hai ,226,"New Delhi, India"
82,08-09-19 5:59,DhavalHR,Tweet,lways PositivendNever loose hopesISRO Chandrayaan2,70,India
83,08-09-19 5:59,Patrioticparro2,Retweet,proud ISRO ,49,
84,08-09-19 5:59,ashap5,Retweet,cartoon timesofindia Chandrayaan2 ISRO ,66,"Mumbai, India"
85,08-09-19 5:59,Mr_Riz110,Retweet,Moon Lander humans ISRO lost communications humans maybe would realised feels relatives Kashmir lose contact themThe ones crying machine would died tears humans,280,"Riyadh, KSA"
86,08-09-19 5:59,murthy_sowjanya,Retweet,Excellent message NS recognising ISROs achievementNo wonder INDI soon LEDER space power tight SLP within amp outside COUNTRY ridiculed INDI amp underestimated scientistss capabilitiesPROUD moment INDINS ISRO ,311,
87,08-09-19 5:59,myshaahmed007,Retweet,PF PLF joint exercise ShaheenVIII kicked 23rd ugust 2019 ChinaPF pilot participates J11B PLF pilot GIBS seen Mirage cockpit ISRO indiafaildChandrayaan3 PakistanirForce ,258,"Army is my Family, My Home, My Life"
88,08-09-19 5:59,AditiSinghxD,Retweet,Pallava Bagla one finest experienced journalists field passion science reflected body work years apologised happened today join lynch mob demand sacking uncalled ,285,India
89,08-09-19 5:59,ani0786l,Tweet,Yo ManKeep moving Sir whole nation looking twrds u U r proud,74,Nature
90,08-09-19 5:59,Uswa_Malik,Retweet,Sir accidentally landed Kashmir lost communication ,100,Novorepnoye 
91,08-09-19 6:00,SagarKa43186365,Retweet,India sends vehicle MoonPakistan sends goat mountain ,95,
92,08-09-19 6:00,RajTiwa56444261,Retweet,Upcoming ISRO Missions gt STROSTgt ditya L1 mission gt Gaganyaanmissiongt Mangalyaan2gt Chandrayaan3Those try never give upJayHind,167, हिन्दुस्तान 
93,08-09-19 6:00,mazingabhay23,Tweet,Thank isro fr making us proud IsroPerGarvHai,54,New Delhi
94,08-09-19 6:00,pvjvatsa,Retweet,CaseIf Journo sitting next PallavaBagla ISRO would doneNDTVNDTVWithPakistanKSivan Chandrayaan3,146,"Kolkata, India"
95,08-09-19 6:00,sirindrakumar,Tweet,ISRO IsroPerGarvHai ISROMissions ISRO ISROweareproudofyou ,95,"Mumbai, India"
96,08-09-19 6:00,Mahekstar240,Retweet,day world media noticed Indian space missionHats ISRO ISRO alexwitze ChrisGNSF ,129,
97,08-09-19 6:00,Pyhu008,Tweet,KailasavadivooS Jai hind Salute members ISRO,59,"Alwar, India"
98,08-09-19 6:00,Michal12873314,Retweet, smoking elegance IndiaFailed ripmacmiller BiggBossTamil3 ISRO antoniobrown MacMiller ENGvUS LadyCocaCola smokingfetish ,187,"Łódź, Polska"
99,08-09-19 6:00,buralp_p,Tweet,beINSPORTSMEN ISRO retweet plz messi Maroc SheTheNorthJokerMovie antoniobrown ,164,
100,08-09-19 6:00,AiswaryaRvr,Retweet,Space science something never crossed mind Sivan brilliant student would work fields alongside father hard work got scholarship MIT course taken PJ bdul Kalam 25 yrs ISRO Chandrayaan2 isro ,303,
101,08-09-19 6:00,Prabakarsuganya,Retweet,proud team Sir simple achievement done great achievement thank ISRO teamISROMission ,170,Singapore
