,Time,Name,Tweet_status,Text,Length,Location
0,2019-09-08 05:58:03,sureshmahesh786,Retweet,Theres nothing like failure in science we experiment amp we gain Massive respect for the scientists at ISRO who worked relentlessly over days amp nights The nation is proud of you Jai Hind 🇮🇳 Chandrayan2,215,India
1,2019-09-08 05:58:03,Kanpurhunk,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,NaN
2,2019-09-08 05:58:05,ankit11101,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,NaN
3,2019-09-08 05:58:05,kulsaurabh1,Retweet,"Hello Pallav BaglaNDTV

Hes not a politiciancriminal whom u can grill with such demeaning tone amp call him a juniorHes a scientist working hard for us rejecting the lucrative offers from abroad Moreover ISRO Chief has better things to do than facing nincompoops like you httpstcotp7ySssD7s",308,"Rahu, Pune, Maharashtra"
4,2019-09-08 05:58:05,Sai2641,Retweet,"Chandrayaan2 mission was a highly complex mission which represented a significant technological leap compared to the previous missions of ISRO to explore the unexplored south pole of the Moon 

For more updates please visit httpstco4vIrztVnng",251,NaN
5,2019-09-08 05:58:05,matt_herdy,Retweet,"Dont hate Good things look my comment section full of respect amp Love from india
Thankyou So much Guys❤
All the best ISRO for Chandrayaan3 👍",150,"London, England"
6,2019-09-08 05:58:05,imSatyajeet18,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,"Balasore, India"
7,2019-09-08 05:58:07,tripathi622,Retweet,"peaceforchange ISRO holds the World Record to launch record 104 satellites in 1 go
Earlier this record was with USSR 37 satellites launch in 1 go

Just check out the difference

🇮🇳✌️

chandaryaan2 
Chandrayaan2 
IsroPerGarvHai 
ISROChief 
ISRO
IndiaOnTheMoon 
IndiaProudOfISRO httpstco4ZgLONfbKP",311,Prayagraj bharat
8,2019-09-08 05:58:07,KapilSi11509302,Tweet,Really entire Nation is with ISRO go ahead with your mission we are proud of you,83,India
9,2019-09-08 05:58:07,lukagodric,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,"Pune, India"
10,2019-09-08 05:58:07,kundank7860,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,"Punjab,India"
11,2019-09-08 05:58:07,Congress_Army,Tweet,He must be kicked out,21,NaN
12,2019-09-08 05:58:07,Tomboy_Diaries,Retweet,Sometimes we don’t land or arrive at the destination we want to The important thing is we took off and had the Hope and Belief we can Our current situation is never and not our final destination That always comes in time and belief Proud of ISRO,250,"New Delhi, India"
13,2019-09-08 05:58:08,DEEPAK17181,Retweet,"Chandrayaan3 Experiments makes science Better 
Proud to be an Indian Thanks ISRO
All the Best for Chandrayaan3
JITHU33 ThalaDhas httpstcoMEGypIMAuA",164,NaN
14,2019-09-08 05:58:07,Nami_fight4life,Retweet,"The journo PallavBagla should be immediately sacked and should apologise to ISRO for his insane behaviour

What won Indian hearts was the innocent smile amp mature behaviour of the ISRO scientist when he faced misbehaviour by the journo This is what makes ISRO special",277,Obviously somewhere on Earth
15,2019-09-08 05:58:09,Congress_Army,Retweet,"The journo PallavBagla should be immediately sacked and should apologise to ISRO for his insane behaviour

What won Indian hearts was the innocent smile amp mature behaviour of the ISRO scientist when he faced misbehaviour by the journo This is what makes ISRO special",277,NaN
16,2019-09-08 05:58:10,Rekaj15,Retweet,India and isro scientists at the brink of creating history Soft landing on the moon will soften every Indian heart Sg Chandrayaan2 ISRO Moonmission,154,NaN
17,2019-09-08 05:58:10,73rdraisin,Retweet,"pallavabagla isro PMOIndia When you insulted the spokesperson of ISRO amp shouted like a thug you showed your true colors of elitism arrogance amp entitlement 

Do not tag PM in this a true human being amp nationalist is one who stood by ISRO

You calling someone junior  disrespected every Indian
NDTV",320,India
18,2019-09-08 05:58:10,RaghavaRocky,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,Visakhapatnam 
19,2019-09-08 05:58:10,Sai2641,Retweet,"We are proud of you ISRO 🙏🏼
ISRO 
Chandrayaan2 httpstco5hxOWUOI84",72,NaN
20,2019-09-08 05:58:11,h_s_Karthik,Tweet,"ShakunthalaHS BJP4Karnataka BJP4India BSYBJP Modi just came to Bengaluru and neither visited any flood affected areas nor discussed about floodrelief
But he visits Karnataka twice a day during elections Shameless BJP
100DaysNoVikas

httpstcoFVpyba3qi8",264,ಕರ್ನಾಟಕ
21,2019-09-08 05:58:13,trishma_trivedi,Retweet,The communication isn’t lost Every single person in India can feel the heartbeat of chandrayaan2 We can hear it whisper to us that  ‘If at first you don’t succeed try try again’ httpstcoYS3y1kQXI2,206,NaN
22,2019-09-08 05:58:13,BTS_love1707,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,NaN
23,2019-09-08 05:58:13,Arjun_Singh5,Retweet,Pakistan should justifiably be ‘proud’ of a Science amp Technology Minister who doesn’t know just the lander failed and the orbiter will be up there doing the stuff for a year And BTW India just doled out a 1 billion credit to Russia rather than begging for aid ISRO Vikram httpstcowivge42Dqw,307,"Ambala, India"
24,2019-09-08 05:58:13,lalitkhilani,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,NaN
25,2019-09-08 05:58:14,AHumbepatil,Retweet,My letter to VikramLander With a copy to Prime Minister narendramodi ji isro chief KSivan ji all the scientists of ISRO and all my fellow Indians all over the world Please retweet it so much that actually reaches him Jai Ho Jai Hind🙏🤓🇮🇳🇮🇳 Chandrayaan2 httpstcoybLm7Qw1iq,289,NaN
26,2019-09-08 05:58:14,alok010167,Retweet,My letter to VikramLander With a copy to Prime Minister narendramodi ji isro chief KSivan ji all the scientists of ISRO and all my fellow Indians all over the world Please retweet it so much that actually reaches him Jai Ho Jai Hind🙏🤓🇮🇳🇮🇳 Chandrayaan2 httpstcoybLm7Qw1iq,289,"Ashiyana, Lucknow, India"
27,2019-09-08 05:58:14,anshu_021191,Retweet,My letter to VikramLander With a copy to Prime Minister narendramodi ji isro chief KSivan ji all the scientists of ISRO and all my fellow Indians all over the world Please retweet it so much that actually reaches him Jai Ho Jai Hind🙏🤓🇮🇳🇮🇳 Chandrayaan2 httpstcoybLm7Qw1iq,289,"Mumbai, India"
28,2019-09-08 05:58:14,Vivekmannem,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,"Hyderabad, India"
29,2019-09-08 05:58:15,mkd_ganesan,Retweet,"How it unfolded
A  Mission failure reported notice the PMs body language no sympathy Mr PR is upset 
B  Advisors inform PM about criticism on SM of him walking away amp groundswell of support for ISRO 
C  Next morning Mr PR goes back to grab K Sivan httpstcoyctXRsaUqu",286,"chennai, india."
30,2019-09-08 05:58:15,harielur18,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,Gobi & Kovai
31,2019-09-08 05:58:15,santunaskar21,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,"Kolkata, India"
32,2019-09-08 05:58:15,jadhavgaurav751,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,"Mumbai, India"
33,2019-09-08 05:58:15,c022aa14a031435,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,NaN
34,2019-09-08 05:58:15,Karthikasambu,Retweet,NASA isro Looking forward to hearing updates regarding research Very intriguing and interesting ISRO,104,"Perambur, Perambur Purasavakam"
35,2019-09-08 05:58:15,NinadKher,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,NaN
36,2019-09-08 05:58:16,ojha_op,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,Delhi
37,2019-09-08 05:58:16,Varsha1_9,Retweet,"Modi ji  its incredibly distasteful amp shameful to see you trying to hog the limelight from our amazing scientists of ISRO

Theyre the real heroes of the nation  pls allow us to celebrate their hard work without making it all about yourself

Your megalomania is NOT welcome",284,"Mumbai, India"
38,2019-09-08 05:58:17,5da931d48cc2459,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,India
39,2019-09-08 05:58:18,MissSrkian,Retweet,Sometimes we don’t land or arrive at the destination we want to The important thing is we took off and had the Hope and Belief we can Our current situation is never and not our final destination That always comes in time and belief Proud of ISRO,250," Asansol ; West Bengal, India"
40,2019-09-08 05:58:18,tushar_malewar,Retweet,"majorgauravarya ▪️We are ProudIndian ♥️
▪️A Big Salute for Our Hardworking Scientists👏🇮🇳 

Chandrayan2 ISRO 

httpstco8aNjXIabGG",137,NaN
41,2019-09-08 05:58:19,Xtreme1700,Retweet,"A humble farmers son to Isros Rocket Man Incredible journey of K Sivan 

Sivan is the first graduate in his family His brother and two sisters were unable to complete higher education due to their poverty

httpstco7sbs37LaFW

ISRO Chandrayaan2",257,"Mumbai, India"
42,2019-09-08 05:58:19,anithaachyutha,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,NaN
43,2019-09-08 05:58:20,SooriPoori16,Retweet,"Chandrayaan2 mission was a highly complex mission which represented a significant technological leap compared to the previous missions of ISRO to explore the unexplored south pole of the Moon 

For more updates please visit httpstco4vIrztVnng",251,"Madurai-TN, Bengaluru-KA India"
44,2019-09-08 05:58:20,RedHawk570,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,India.
45,2019-09-08 05:58:20,amitkaushal00,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,"अयोध्या, भारत"
46,2019-09-08 05:58:20,jujukasi007,Retweet,"We are proud of you ISRO 🙏🏼
ISRO 
Chandrayaan2 httpstco5hxOWUOI84",72,Nagercoil
47,2019-09-08 05:58:21,VikramLander,Retweet,"Chandrayaan2 mission was a highly complex mission which represented a significant technological leap compared to the previous missions of ISRO to explore the unexplored south pole of the Moon 

For more updates please visit httpstco4vIrztVnng",251,Moon
48,2019-09-08 05:58:21,saurav_k_,Retweet,"Pakistans SUPARCO formed 8 yrs before ISRO Yet to launch indigenously developed satellite in Earths orbit forget abt reaching Moon or Mars🤣

SUPARCO 43m
ISRO 15B

Chandrayaan2 141m 33xSUPARCO
ISRO 35xSUPARCO

Baap Baap Hota HaiBeta Beta🤣😂🤣 WorthlessPakistan httpstcoIQOvc48h4n",300,भारत
