,Unnamed: 0,Unnamed: 0.1,Time,Name,Tweet_status,Text,Length,Location,polarity,subjectivity
0,0,0,09-09-19 10:11,pun_naughtyy,Retweet,Space hard commend attempt land #Chandrayaan mission Moon South Pole inspired us journey look forward future opportunities explore solar system together,21,Delhi,negative,0.3333333333333333
1,1,1,09-09-19 10:11,ajeet0910,Retweet,Vikram spotted one piece come #ISRO entire country waiting #ISROSpotsVikram,10,"New Delhi, India",positive,0.625
2,2,2,09-09-19 10:11,murali772,Retweet,Meaningful words Nothing failure scientific experiments Failure one expected perform Hope future concentrate science experiments Hats #ISRO everyone made valuable experiment possible,22,Bangalore,negative,0.4375
3,3,3,09-09-19 10:11,kansalsubodh,Retweet,Vikram lander broken Sigh hope Let keep fingers crossed #ISROSpotsVikram #ISRO,11,New Delhi,negative,0.4
4,4,4,09-09-19 10:11,urjagan,Retweet,#Vikram single piece tilted position official Read #ISRO #isromissions #Chandrayaan #ISROSpotsVikram,11,"Rajahmundry, India",negative,0.21428571428571427
5,5,5,09-09-19 10:11,vikasraina,Retweet,take journalist accreditation back prosecute selling classified information,8,,positive,0.0
6,6,6,09-09-19 10:11,Abhay73g,Retweet,#BREAKING #ISRO #ISROSpotsVikram,3,India,positive,0.0
7,7,7,09-09-19 10:11,ANWESH5PATI,Retweet,#ISRO locates Vikram lander intact tilted lunar surface #VikramLanderFound #Chandrayaan,10,Earth,positive,0.0
8,8,8,09-09-19 10:11,BargaliPramod,Tweet,Jai Hind,2,"New Delhi, India",positive,0.0
9,9,9,09-09-19 10:11,puru2012,Retweet,ISRO #Chandrayaan #Chandrayaan #ISRO #ISROMission #VikramLander #ProudOfISRO,7,,positive,0.0
10,10,12,09-09-19 10:11,ShamChavan13,Tweet,sir sir,2,,positive,0.0
11,11,14,09-09-19 10:11,Gaurav473001,Tweet,#chandrayan #ISRO #proudisro #proudindian #india #gauravg prajapati #studytap,8,,positive,0.0
